,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
184980,Brand33,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,1.875,,,
184987,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,6.4464,,,
185003,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,96.8682,,,
185009,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Other Market,Not Available,Not Available,Class1,MOTRX,88.2193,88.2193,,
185014,Brand1,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,IV Market,IV Market,Not Available,Class1,MOTRX,24.876,,,
185038,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,5.5401,,,
185042,Brand36,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Oral Market,Oral Market,Not Available,Class2,NBRX,60.1746,60.1746,,
185283,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,115.2655,115.2655,,
185285,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,BnB IV Market,BnB IV Market,Not Available,Class1,MOTRX,431.7088,431.7088,,
185417,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,MOTRX,2125.1685,,,
185461,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,NBRX,0.0,0.0,,
185462,Brand11,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,173.2149,173.2149,,
185478,Brand17,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
185557,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,42.7765,,,
185603,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Other Market,Other Market,Not Available,Class3,MOTRX,39.5885,39.5885,45.05201607,46.8969645
185615,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Not Available,Not Available,Class1,NBRX,1.3641,,,
185684,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,MOTRX,101.3402,,,
185789,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,NBRX,388.7151,,,
185886,Brand22,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,TRX,175.0833,,,
185887,Brand22,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class4,MOTRX,350.1667,,,
185954,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,46.5197,,,
185978,Brand31,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,TRX,29.4181,29.4181,,
185998,Brand34,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,TRX,1.1183,,,
186257,Brand22,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,NBRX,81.3577,,,
186267,Brand9,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,TRX,0.9034,0.9034,,
186315,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,MOTRX,82.3678,,,
186341,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,369.8043,369.8043,,
186343,Brand11,1,PED,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,6.3487,6.3487,,
186477,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,534.8183,534.8183,,
186524,Brand32,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,IV Market,IV Market,Not Available,Class3,NBRX,0.0,,,0.0
186531,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class2,TRX,1.592,,,
186573,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,BnB IV Market,BnB IV Market,Not Available,Class1,TRX,2018.8737,,,
186694,Brand11,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,BnB IV Market,BnB IV Market,Not Available,Class1,NBRX,63.4866,,,
186712,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
